name,result,time,num_lemmas,num_lemmas_attempted,num_lemmas_proven,result_cyclic,time_cyclic,num_lemmas_cyclic,num_attempted_lemmas_cyclic,num_proven_lemmas_cyclic
ta1-ta2,Valid,17.76882,0,0,0,Unknown,0,0,0,0
ta1-ta3,Timeout,85983.99,8,6,1,Unknown,0,0,0,0
ta1-ta4,Timeout,91880.37,7,6,3,Unknown,0,0,0,0
ta1-sol5,Invalid,24.727247,0,0,0,Unknown,0,0,0,0
ta1-sol50,Timeout,66063.875,3,3,2,Unknown,0,0,0,0
ta1-sol57,Timeout,61743.17,3,3,2,Unknown,0,0,0,0
ta1-sol101,Invalid,114.119705,0,0,0,Unknown,0,0,0,0
ta1-sol109,Timeout,61372.348,9,6,1,Unknown,0,0,0,0
ta1-sol123,Invalid,93017.13,0,0,0,Unknown,0,0,0,0
ta1-sol530,Timeout,60529.863,4,4,2,Unknown,0,0,0,0
