name,result,time,num_lemmas,num_lemmas_attempted,num_lemmas_proven,result_cyclic,time_cyclic,num_lemmas_cyclic,num_attempted_lemmas_cyclic,num_proven_lemmas_cyclic
clam_1,Valid,36.1212,3,2,2,Unknown,0,0,0,0
clam_2,Valid,187.31902,3,2,2,Unknown,0,0,0,0
clam_3,Valid,21.044601,0,0,0,Unknown,0,0,0,0
clam_4,Valid,139.5764,3,1,1,Unknown,0,0,0,0
clam_5,Valid,31.180199,1,1,1,Unknown,0,0,0,0
clam_6,Valid,89.2015,1,1,1,Unknown,0,0,0,0
clam_7,Valid,48.7367,2,1,1,Unknown,0,0,0,0
clam_8,Valid,460.1944,6,2,2,Unknown,0,0,0,0
clam_9,Valid,435.23212,7,3,3,Unknown,0,0,0,0
clam_10,Valid,39.897,1,1,1,Unknown,0,0,0,0
clam_11,Timeout,2171.4414,11,3,3,Unknown,0,0,0,0
clam_12,Valid,135.9637,1,1,1,Unknown,0,0,0,0
clam_13,Valid,104.9624,5,4,1,Unknown,0,0,0,0
clam_14,Timeout,2013.211,19,10,3,Unknown,0,0,0,0
clam_15,Valid,17.635601,1,1,1,Unknown,0,0,0,0
clam_16,Valid,40.7238,3,2,2,Unknown,0,0,0,0
clam_17,Valid,151.2578,4,3,3,Unknown,0,0,0,0
clam_18,Timeout,2207.6223,5,3,3,Unknown,0,0,0,0
clam_19,Valid,253.5528,5,3,3,Unknown,0,0,0,0
clam_20,Valid,393.0457,5,2,2,Unknown,0,0,0,0
clam_21,Timeout,2001.8673,23,15,1,Unknown,0,0,0,0
clam_22,Valid,320.7269,5,4,4,Unknown,0,0,0,0
clam_23,Valid,561.36426,5,4,4,Unknown,0,0,0,0
clam_24,Valid,125.0381,3,2,2,Unknown,0,0,0,0
clam_25,Valid,58.1632,1,1,1,Unknown,0,0,0,0
clam_26,Valid,38.2129,3,2,2,Unknown,0,0,0,0
clam_27,Valid,574.19977,6,4,4,Unknown,0,0,0,0
clam_28,Timeout,2177.3083,4,0,0,Unknown,0,0,0,0
clam_29,Timeout,2011.3748,22,2,2,Unknown,0,0,0,0
clam_30,Valid,67.20369,4,3,3,Unknown,0,0,0,0
clam_31,Timeout,2395.1484,16,0,0,Unknown,0,0,0,0
clam_32,Timeout,2009.8312,34,16,0,Unknown,0,0,0,0
clam_33,Timeout,6338.089,2,0,0,Unknown,0,0,0,0
clam_34,Valid,261.7012,12,11,2,Unknown,0,0,0,0
clam_35,Timeout,5043.61,0,0,0,Unknown,0,0,0,0
clam_48,Valid,548.6691,5,1,1,Unknown,0,0,0,0
clam_49,Timeout,2033.2256,33,23,0,Unknown,0,0,0,0
clam_50,Timeout,3523.9065,27,27,3,Unknown,0,0,0,0
clam_75,Valid,130.82271,1,1,1,Unknown,0,0,0,0
clam_76,Valid,555.07916,1,1,1,Unknown,0,0,0,0
clam_77,Valid,212.10649,2,2,2,Unknown,0,0,0,0
clam_78,Timeout,2006.3796,11,4,4,Unknown,0,0,0,0
clam_79,Timeout,2027.9071,11,3,3,Unknown,0,0,0,0
clam_80,Timeout,2006.4714,11,4,4,Unknown,0,0,0,0
clam_81,Valid,1038.9911,4,4,4,Unknown,0,0,0,0
clam_82,Valid,586.84924,5,3,3,Unknown,0,0,0,0
clam_83,Timeout,2258.5925,26,18,1,Unknown,0,0,0,0
clam_84,Timeout,2147.2117,3,1,1,Unknown,0,0,0,0
clam_85,Valid,654.0305,6,4,4,Unknown,0,0,0,0
clam_86,Timeout,2456.6482,3,2,1,Unknown,0,0,0,0
