name,result,time,num_lemmas,num_lemmas_attempted,num_lemmas_proven,result_cyclic,time_cyclic,num_lemmas_cyclic,num_attempted_lemmas_cyclic,num_proven_lemmas_cyclic
goal_01,Valid,63.43323,7,5,2,Unknown,0,0,0,0
goal_02,Valid,64.54289,1,0,0,Unknown,0,0,0,0
goal_03,Valid,62.946445,1,0,0,Unknown,0,0,0,0
goal_04,Valid,41.138393,6,4,1,Unknown,0,0,0,0
goal_05,Valid,51.204033,5,4,1,Unknown,0,0,0,0
goal_06,Valid,5.129797,1,0,0,Unknown,0,0,0,0
goal_07,Valid,5.197208,1,0,0,Unknown,0,0,0,0
goal_08,Valid,6.0474057,1,0,0,Unknown,0,0,0,0
goal_09,Valid,13.568331,2,0,0,Unknown,0,0,0,0
goal_10,Valid,3.222878,1,0,0,Unknown,0,0,0,0
goal_11,Valid,1.983434,0,0,0,Unknown,0,0,0,0
goal_12,Valid,7.715688,0,0,0,Unknown,0,0,0,0
goal_13,Valid,4.563629,0,0,0,Unknown,0,0,0,0
goal_14,Valid,12.037737,0,0,0,Unknown,0,0,0,0
goal_15,Valid,56.64049,1,0,0,Unknown,0,0,0,0
goal_16,Valid,3.8388581,0,0,0,Unknown,0,0,0,0
goal_17,Valid,4.042329,1,0,0,Unknown,0,0,0,0
goal_18,Valid,5.899288,1,0,0,Unknown,0,0,0,0
goal_19,Valid,26.383047,2,0,0,Unknown,0,0,0,0
goal_20,Valid,314.58417,7,1,1,Unknown,0,0,0,0
goal_21,Valid,5.325512,1,0,0,Unknown,0,0,0,0
goal_22,Valid,38.9864,11,8,1,Unknown,0,0,0,0
goal_23,Valid,8.413265,2,0,0,Unknown,0,0,0,0
goal_24,Valid,16.930489,3,1,1,Unknown,0,0,0,0
goal_25,Valid,16.09592,3,1,1,Unknown,0,0,0,0
goal_26,Valid,26.24865,0,0,0,Unknown,0,0,0,0
goal_27,Valid,23.568312,0,0,0,Unknown,0,0,0,0
goal_28,Valid,60.610806,9,8,3,Unknown,0,0,0,0
goal_29,Valid,66.00949,3,2,1,Unknown,0,0,0,0
goal_30,Valid,86.48444,8,7,3,Unknown,0,0,0,0
goal_31,Valid,30.08266,7,4,1,Unknown,0,0,0,0
goal_32,Valid,9.139514,2,0,0,Unknown,0,0,0,0
goal_33,Valid,12.933918,2,0,0,Unknown,0,0,0,0
goal_34,Valid,17.036705,3,1,1,Unknown,0,0,0,0
goal_35,Valid,11.76488,1,1,1,Unknown,0,0,0,0
goal_36,Valid,12.762985,1,1,1,Unknown,0,0,0,0
goal_37,Valid,46.394657,1,1,1,Unknown,0,0,0,0
goal_38,Valid,102.02149,4,2,0,Unknown,0,0,0,0
goal_39,Valid,11.321721,0,0,0,Unknown,0,0,0,0
goal_40,Valid,1.988186,0,0,0,Unknown,0,0,0,0
goal_41,Valid,8.106417,0,0,0,Unknown,0,0,0,0
goal_42,Valid,4.5952253,0,0,0,Unknown,0,0,0,0
goal_43,Valid,4.246362,0,0,0,Unknown,0,0,0,0
goal_44,Valid,14.576937,1,0,0,Unknown,0,0,0,0
goal_45,Valid,7.609003,0,0,0,Unknown,0,0,0,0
goal_46,Valid,1.840773,0,0,0,Unknown,0,0,0,0
goal_47,Valid,64.34519,4,1,1,Unknown,0,0,0,0
goal_48,Valid,11.376053,0,0,0,Unknown,0,0,0,0
goal_49,Valid,415.71274,11,10,5,Unknown,0,0,0,0
goal_50,Valid,23.570494,1,0,0,Unknown,0,0,0,0
goal_51,Valid,30.152311,3,1,0,Unknown,0,0,0,0
goal_52,Invalid,61437.508,153,121,14,Unknown,0,0,0,0
goal_53,Timeout,60717.71,194,183,6,Unknown,0,0,0,0
goal_54,Valid,719.6449,12,8,4,Unknown,0,0,0,0
goal_55,Valid,17160.555,33,21,15,Unknown,0,0,0,0
goal_56,Valid,38.01765,1,0,0,Unknown,0,0,0,0
goal_57,Valid,1068.7048,10,8,8,Unknown,0,0,0,0
goal_58,Valid,123.32213,11,6,3,Unknown,0,0,0,0
goal_59,Valid,210.54318,14,10,5,Unknown,0,0,0,0
goal_60,Valid,48.63366,5,5,0,Unknown,0,0,0,0
goal_61,Valid,64.24221,4,3,0,Unknown,0,0,0,0
goal_62,Valid,449.0883,20,17,6,Unknown,0,0,0,0
goal_63,Valid,5.181291,0,0,0,Unknown,0,0,0,0
goal_64,Valid,24.123436,0,0,0,Unknown,0,0,0,0
goal_65,Valid,31.994473,3,1,0,Unknown,0,0,0,0
goal_66,Valid,13.321517,2,1,1,Unknown,0,0,0,0
goal_67,Timeout,60007.66,0,0,0,Unknown,0,0,0,0
goal_68,Valid,24.662405,2,1,1,Unknown,0,0,0,0
goal_69,Timeout,60115.4,294,229,0,Unknown,0,0,0,0
goal_70,Valid,36.353046,6,3,2,Unknown,0,0,0,0
goal_71,Valid,3.809454,0,0,0,Unknown,0,0,0,0
goal_72,Timeout,60687.992,120,105,0,Unknown,0,0,0,0
goal_73,Valid,214.10966,5,3,0,Unknown,0,0,0,0
goal_74,Timeout,60233.176,375,235,4,Unknown,0,0,0,0
goal_75,Timeout,60104.28,0,0,0,Unknown,0,0,0,0
goal_76,Timeout,60238.977,236,168,11,Unknown,0,0,0,0
goal_77,Valid,91.310295,3,3,2,Unknown,0,0,0,0
goal_78,Valid,23.685862,2,2,2,Unknown,0,0,0,0
goal_79,Timeout,60225.36,13,10,2,Unknown,0,0,0,0
