name,result,time,num_lemmas,num_lemmas_attempted,num_lemmas_proven,result_cyclic,time_cyclic,num_lemmas_cyclic,num_attempted_lemmas_cyclic,num_proven_lemmas_cyclic
ta1-ta2,Valid,21.13394,0,0,0,Unknown,0,0,0,0
ta1-ta3,Timeout,85723.57,8,6,1,Unknown,0,0,0,0
ta1-ta4,Timeout,107957.62,11,10,3,Unknown,0,0,0,0
ta1-sol5,Invalid,824.79156,0,0,0,Unknown,0,0,0,0
ta1-sol50,Timeout,70498.1,3,3,2,Unknown,0,0,0,0
ta1-sol57,Timeout,60663.61,6,6,2,Unknown,0,0,0,0
ta1-sol101,Invalid,105.33949,0,0,0,Unknown,0,0,0,0
ta1-sol109,Timeout,68516.3,17,13,1,Unknown,0,0,0,0
ta1-sol123,Invalid,93082.87,0,0,0,Unknown,0,0,0,0
ta1-sol530,Timeout,61843.727,33,33,9,Unknown,0,0,0,0
