name,result,time,num_lemmas,num_lemmas_attempted,num_lemmas_proven,result_cyclic,time_cyclic,num_lemmas_cyclic,num_attempted_lemmas_cyclic,num_proven_lemmas_cyclic
clam_1,Valid,31.841955,4,2,2,Unknown,0,0,0,0
clam_2,Valid,221.37279,5,3,3,Unknown,0,0,0,0
clam_3,Valid,31.315144,1,0,0,Unknown,0,0,0,0
clam_4,Valid,185.96448,4,1,1,Unknown,0,0,0,0
clam_5,Valid,55.538982,2,1,1,Unknown,0,0,0,0
clam_6,Valid,113.68376,3,2,2,Unknown,0,0,0,0
clam_7,Valid,114.44989,4,2,2,Unknown,0,0,0,0
clam_8,Valid,212.16547,8,2,2,Unknown,0,0,0,0
clam_9,Valid,267.16385,9,3,3,Unknown,0,0,0,0
clam_10,Valid,74.55076,3,1,1,Unknown,0,0,0,0
clam_11,Valid,2577.2815,12,7,7,Unknown,0,0,0,0
clam_12,Valid,214.47227,3,1,1,Unknown,0,0,0,0
clam_13,Valid,86.47905,6,4,1,Unknown,0,0,0,0
clam_15,Valid,16.080156,2,1,1,Unknown,0,0,0,0
clam_16,Valid,39.2964,4,2,2,Unknown,0,0,0,0
clam_17,Valid,161.89964,4,3,3,Unknown,0,0,0,0
clam_18,Valid,2738.5698,12,10,10,Unknown,0,0,0,0
clam_19,Valid,184.94145,5,3,3,Unknown,0,0,0,0
clam_20,Valid,485.64243,7,2,2,Unknown,0,0,0,0
clam_21,Timeout,60907.19,32,20,1,Unknown,0,0,0,0
clam_22,Valid,369.25064,6,4,4,Unknown,0,0,0,0
clam_23,Valid,289.8408,6,4,4,Unknown,0,0,0,0
clam_24,Valid,82.04933,5,2,2,Unknown,0,0,0,0
clam_25,Valid,30.826284,1,1,1,Unknown,0,0,0,0
clam_26,Valid,67.97367,5,2,2,Unknown,0,0,0,0
clam_27,Valid,344.5768,7,4,4,Unknown,0,0,0,0
clam_28,Valid,2162.1106,7,3,3,Unknown,0,0,0,0
clam_29,Timeout,60494.24,69,3,3,Unknown,0,0,0,0
clam_30,Valid,150.96094,5,3,3,Unknown,0,0,0,0
clam_31,Timeout,60089.273,140,0,0,Unknown,0,0,0,0
clam_32,Timeout,60060.61,298,148,0,Unknown,0,0,0,0
clam_33,Timeout,64483.824,18,6,5,Unknown,0,0,0,0
clam_34,Valid,1548.177,11,5,2,Unknown,0,0,0,0
clam_35,Timeout,64242.746,14,8,2,Unknown,0,0,0,0
clam_48,Valid,423.54358,6,1,1,Unknown,0,0,0,0
clam_49,Timeout,68095.06,81,64,2,Unknown,0,0,0,0
clam_50,Timeout,60049.977,178,108,6,Unknown,0,0,0,0
clam_75,Valid,234.93883,3,1,1,Unknown,0,0,0,0
clam_76,Valid,812.72974,2,1,1,Unknown,0,0,0,0
clam_77,Valid,427.54996,5,2,2,Unknown,0,0,0,0
clam_78,Timeout,60195.902,59,13,13,Unknown,0,0,0,0
clam_79,Valid,2974.1445,11,8,8,Unknown,0,0,0,0
clam_80,Valid,3635.2302,12,7,7,Unknown,0,0,0,0
clam_81,Valid,1253.9523,6,4,4,Unknown,0,0,0,0
clam_82,Valid,1131.9875,9,5,5,Unknown,0,0,0,0
clam_83,Timeout,61092.957,32,20,1,Unknown,0,0,0,0
clam_84,Timeout,60015.465,33,16,6,Unknown,0,0,0,0
clam_85,Valid,29218.72,24,16,5,Unknown,0,0,0,0
clam_86,Timeout,73577.34,23,8,7,Unknown,0,0,0,0
