name,result,time,num_lemmas,num_lemmas_attempted,num_lemmas_proven,result_cyclic,time_cyclic,num_lemmas_cyclic,num_attempted_lemmas_cyclic,num_proven_lemmas_cyclic
ta1-ta2,Valid,3.238159,0,0,0,Unknown,0,0,0,0
ta1-ta3,Valid,3.12661,0,0,0,Unknown,0,0,0,0
ta1-ta4,Valid,9.81239,2,1,1,Unknown,0,0,0,0
ta1-sol4,Valid,49.5687,9,3,3,Unknown,0,0,0,0
ta1-sol6,Valid,34.079666,10,2,2,Unknown,0,0,0,0
ta1-sol11,Valid,3.145993,0,0,0,Unknown,0,0,0,0
ta1-sol143,Valid,72.098656,9,6,4,Unknown,0,0,0,0
ta2-ta3,Valid,3.135771,0,0,0,Unknown,0,0,0,0
ta2-ta4,Valid,2.7477698,0,0,0,Unknown,0,0,0,0
ta2-sol4,Valid,6879.699,25,6,6,Unknown,0,0,0,0
ta2-sol6,Valid,18.893284,3,1,1,Unknown,0,0,0,0
ta2-sol11,Valid,2.393603,0,0,0,Unknown,0,0,0,0
ta2-sol143,Valid,94.09355,9,4,2,Unknown,0,0,0,0
ta3-ta4,Timeout,128853.58,45,0,0,Unknown,0,0,0,0
ta3-sol4,Valid,134.32314,10,3,3,Unknown,0,0,0,0
ta3-sol6,Valid,46.503613,6,2,2,Unknown,0,0,0,0
ta3-sol11,Valid,3.687383,0,0,0,Unknown,0,0,0,0
ta3-sol143,Timeout,128882.766,65,13,1,Unknown,0,0,0,0
ta4-sol4,Timeout,120033.31,461,4,4,Unknown,0,0,0,0
ta4-sol6,Valid,191.26353,4,2,2,Unknown,0,0,0,0
ta4-sol11,Valid,5.1720457,0,0,0,Unknown,0,0,0,0
ta4-sol143,Timeout,122772.414,59,9,1,Unknown,0,0,0,0
sol4-sol6,Valid,178.53009,6,3,3,Unknown,0,0,0,0
sol4-sol11,Valid,5.049636,0,0,0,Unknown,0,0,0,0
sol4-sol143,Valid,939.0624,32,10,8,Unknown,0,0,0,0
sol6-sol11,Valid,38.020638,4,2,2,Unknown,0,0,0,0
sol6-sol143,Valid,921.39,32,10,8,Unknown,0,0,0,0
sol11-sol143,Valid,13219.852,70,8,6,Unknown,0,0,0,0
