name,result,time,num_lemmas,num_lemmas_attempted,num_lemmas_proven,result_cyclic,time_cyclic,num_lemmas_cyclic,num_attempted_lemmas_cyclic,num_proven_lemmas_cyclic
ta3-ta7,Timeout,154012.67,11,7,5,Unknown,0,0,0,0
ta3-sol32,Valid,109908.836,163,44,38,Unknown,0,0,0,0
ta3-sol90,Invalid,603.665,40,32,3,Unknown,0,0,0,0
ta3-sol116,Valid,510.06567,7,7,4,Unknown,0,0,0,0
ta4-ta5,Valid,533.3406,5,3,3,Unknown,0,0,0,0
ta4-ta6,Valid,189.76253,8,7,6,Unknown,0,0,0,0
ta4-ta7,Valid,54.606655,3,3,3,Unknown,0,0,0,0
ta4-sol32,Valid,80.83317,6,5,1,Unknown,0,0,0,0
ta4-sol90,Invalid,2538.0972,28,24,2,Unknown,0,0,0,0
ta4-sol116,Timeout,128453.2,24,20,9,Unknown,0,0,0,0
ta5-ta6,Valid,501.07956,1,1,1,Unknown,0,0,0,0
ta5-ta7,Valid,29.295584,5,2,2,Unknown,0,0,0,0
ta5-sol32,Timeout,127964.13,175,109,13,Unknown,0,0,0,0
ta5-sol90,Invalid,9903.518,48,45,5,Unknown,0,0,0,0
ta5-sol116,Valid,577.15735,5,4,4,Unknown,0,0,0,0
ta6-ta7,Valid,51.180176,7,3,3,Unknown,0,0,0,0
ta6-sol32,Invalid,7415.1714,18,7,2,Unknown,0,0,0,0
ta6-sol90,Invalid,3003.712,28,27,2,Unknown,0,0,0,0
ta6-sol116,Timeout,127989.4,78,12,4,Unknown,0,0,0,0
sol32-sol90,Invalid,3242.6484,26,25,2,Unknown,0,0,0,0
sol32-sol116,Valid,120.08324,8,5,5,Unknown,0,0,0,0
sol90-sol116,Invalid,1328.2958,26,25,2,Unknown,0,0,0,0
