name,result,time,num_lemmas,num_lemmas_attempted,num_lemmas_proven,result_cyclic,time_cyclic,num_lemmas_cyclic,num_attempted_lemmas_cyclic,num_proven_lemmas_cyclic
autolifter-single-pass-mts,Timeout,2254.1396,10,4,3,Unknown,0,0,0,0
autolifter-single-pass-atoi,Timeout,2012.8724,2,2,2,Unknown,0,0,0,0
synduce-constraints-empty_right_subtree-sum,Timeout,2019.2375,49,41,9,Unknown,0,0,0,0
synduce-constraints-all_positive-sndmin,Timeout,2733.055,19,11,5,Unknown,0,0,0,0
synduce-list-last,Timeout,2037.5294,10,2,1,Unknown,0,0,0,0
synduce-constraints-unimodal_lists-max_in_um_pos,Timeout,2059.632,11,4,2,Unknown,0,0,0,0
autolifter-single-pass-cnt1s,Timeout,2003.1171,17,4,4,Unknown,0,0,0,0
synduce-terms-height,Valid,501.45358,4,1,1,Unknown,0,0,0,0
synduce-constraints-ensures-mps_no_ensures,Timeout,2023.3995,25,16,10,Unknown,0,0,0,0
autolifter-single-pass-max_dist_between_zeros,Timeout,2055.3635,17,16,10,Unknown,0,0,0,0
synduce-constraints-sortedlist-nestedl_pyramid,Timeout,2067.3977,19,16,6,Unknown,0,0,0,0
synduce-tailopt-mps,Timeout,2012.9585,42,34,12,Unknown,0,0,0,0
synduce-list-mts_and_mps_hom,Timeout,2373.2295,29,12,3,Unknown,0,0,0,0
synduce-constraints-sortedlist-slsp,Timeout,2025.582,30,25,6,Unknown,0,0,0,0
synduce-zipper-list_sum_basic,Timeout,2006.2487,19,10,5,Unknown,0,0,0,0
autolifter-single-pass-max_len_1s,Timeout,2008.7703,12,3,2,Unknown,0,0,0,0
synduce-constraints-unimodal_lists-max_logn_v2,Timeout,2149.6487,16,13,4,Unknown,0,0,0,0
synduce-unimodal_lists-sum,Timeout,2100.779,13,4,2,Unknown,0,0,0,0
synduce-misc-simple_nnf,Valid,53.813503,4,3,3,Unknown,0,0,0,0
synduce-tree-minmax,Timeout,2088.677,28,22,2,Unknown,0,0,0,0
synduce-constraints-sortedlist-parallel_max2,Timeout,2087.731,5,4,4,Unknown,0,0,0,0
synduce-list-zeros_ones,Timeout,2257.3108,8,4,3,Unknown,0,0,0,0
synduce-constraints-all_positive-sndmax,Timeout,2043.9996,64,57,9,Unknown,0,0,0,0
fusion-algprog-ex3.14,Timeout,2037.7577,14,5,1,Unknown,0,0,0,0
autolifter-single-pass-mis,Timeout,2013.803,30,21,2,Unknown,0,0,0,0
synduce-treepaths-maxPathWeight,Timeout,2057.4822,30,24,2,Unknown,0,0,0,0
synduce-constraints-sortedlist-max,Timeout,2017.1506,46,39,17,Unknown,0,0,0,0
synduce-treepaths-height,Timeout,2006.523,36,23,3,Unknown,0,0,0,0
synduce-tree-sorted,Timeout,2483.2231,5,4,1,Unknown,0,0,0,0
fusion-algprog-ex3.13,Invalid,2027.0253,22,17,6,Unknown,0,0,0,0
synduce-constraints-memo-constant,Valid,54.9579,2,1,1,Unknown,0,0,0,0
fusion-identities-page5,Valid,209.86429,7,4,4,Unknown,0,0,0,0
synduce-list-issorted,Timeout,2048.3733,26,18,6,Unknown,0,0,0,0
autolifter-single-pass-dropwhile,Timeout,2007.3628,49,1,1,Unknown,0,0,0,0
synduce-constraints-bst-from_list_max,Timeout,2134.1018,3,2,1,Unknown,0,0,0,0
synduce-constraints-balanced_tree-height,Timeout,2008.3876,22,17,7,Unknown,0,0,0,0
synduce-nested_list-pyramid_intervals,Timeout,2015.132,28,27,4,Unknown,0,0,0,0
synduce-constraints-sortedlist-min,Timeout,2047.4126,26,23,6,Unknown,0,0,0,0
synduce-treepaths-sum,Timeout,2456.075,6,2,2,Unknown,0,0,0,0
synduce-constraints-balanced_tree-height_v2,Timeout,2008.9388,21,16,3,Unknown,0,0,0,0
fusion-algprog-page60,Timeout,2026.4413,34,19,2,Unknown,0,0,0,0
synduce-constraints-sortedlist-parallel_max,Timeout,2006.0458,27,26,8,Unknown,0,0,0,0
mtp-base,Valid,601.57025,20,19,10,Unknown,0,0,0,0
