name,result,time,num_lemmas,num_lemmas_attempted,num_lemmas_proven,result_cyclic,time_cyclic,num_lemmas_cyclic,num_attempted_lemmas_cyclic,num_proven_lemmas_cyclic
optimize,Valid,330.3213,12,12,10,Unknown,0,0,0,0
optimize,Timeout,60567.066,138,100,4,Unknown,0,0,0,0
optimize,Timeout,60238.656,175,112,11,Unknown,0,0,0,0
optimize,Timeout,60011.38,229,184,11,Unknown,0,0,0,0
optimize,Timeout,60006.418,31,6,5,Unknown,0,0,0,0
optimize,Timeout,61433.055,84,76,12,Unknown,0,0,0,0
optimize,Timeout,60070.938,148,129,14,Unknown,0,0,0,0
optimize,Valid,79.24384,15,10,5,Unknown,0,0,0,0
optimize,Timeout,60195.84,164,96,9,Unknown,0,0,0,0
optimize,Timeout,60070.617,131,96,14,Unknown,0,0,0,0
optimize,Valid,15392.53,134,70,14,Unknown,0,0,0,0
optimize,Valid,385.4039,18,4,3,Unknown,0,0,0,0
optimize,Timeout,66770.88,16,5,3,Unknown,0,0,0,0
optimize,Timeout,60284.99,137,83,8,Unknown,0,0,0,0
optimize,Timeout,60704.62,179,148,16,Unknown,0,0,0,0
optimize,Timeout,61498.617,69,55,39,Unknown,0,0,0,0
optimize,Valid,111.93577,7,4,4,Unknown,0,0,0,0
optimize,Timeout,60524.984,112,96,14,Unknown,0,0,0,0
optimize,Timeout,62967.07,200,181,43,Unknown,0,0,0,0
