name,result,time,num_lemmas,num_lemmas_attempted,num_lemmas_proven,result_cyclic,time_cyclic,num_lemmas_cyclic,num_attempted_lemmas_cyclic,num_proven_lemmas_cyclic
ta1-ta2,Timeout,120046.02,512,512,0,Unknown,0,0,0,0
ta1-ta3,Invalid,120335.945,512,512,0,Unknown,0,0,0,0
ta1-sol8,Timeout,120022.71,152,152,0,Unknown,0,0,0,0
ta1-sol225,Invalid,120112.31,512,512,0,Unknown,0,0,0,0
ta1-sol573,Timeout,120043.38,512,512,0,Unknown,0,0,0,0
ta2-ta3,Invalid,120174.5,571,571,0,Unknown,0,0,0,0
ta2-sol8,Invalid,120082.74,571,571,0,Unknown,0,0,0,0
ta2-sol225,Invalid,106.830956,0,0,0,Unknown,0,0,0,0
ta2-sol573,Invalid,32.617027,0,0,0,Unknown,0,0,0,0
ta3-sol8,Timeout,120053.13,571,571,0,Unknown,0,0,0,0
ta3-sol225,Timeout,120030.84,571,571,0,Unknown,0,0,0,0
ta3-sol573,Timeout,120027.67,571,571,0,Unknown,0,0,0,0
sol8-sol225,Timeout,120062.08,571,571,0,Unknown,0,0,0,0
sol8-sol573,Timeout,120047.19,571,571,0,Unknown,0,0,0,0
sol225-sol573,Invalid,38.02085,0,0,0,Unknown,0,0,0,0
